p0,p1,p2,p3,p4,p5,p6,p7,size,objective,source,id,filename,speedup
2,sockets,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,XL,15.675733333333335,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01768.c,mmp_01768,1.0269567399292323
48,cores,close,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,15.637666666666664,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01769.c,mmp_01769,1.0294566538059813
96,sockets,close,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,15.673733333333333,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01770.c,mmp_01770,1.0270877816814543
192,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,16.7186,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01771.c,mmp_01771,0.962897611043987
32,threads,close,dynamic, ,#pragma unroll,#pragma omp for nowait, ,XL,15.642166666666665,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01772.c,mmp_01772,1.0291604956687586
4,cores,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,15.6398,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01773.c,mmp_01773,1.0293162316653666
48,sockets,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,XL,15.9206,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01774.c,mmp_01774,1.011161639636697
96,cores,close,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,XL,15.635466666666666,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01775.c,mmp_01775,1.029601504272338
16,sockets,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,15.7359,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01776.c,mmp_01776,1.0230301412693266
32,sockets,close,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,15.632766666666669,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01777.c,mmp_01777,1.0297793310205272
64,sockets,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,15.669333333333334,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01778.c,mmp_01778,1.0273761912865893
2,sockets,master,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,15.6708,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01779.c,mmp_01779,1.02728003675626
128,sockets,master,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,15.657466666666664,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01780.c,mmp_01780,1.0281548313477702
96,cores,close,static, ,#pragma unroll,#pragma omp for nowait, ,XL,15.7172,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01781.c,mmp_01781,1.0242473214058483
32,cores,close,static,#pragma omp parallel for, ,#pragma omp for nowait, ,XL,16.886566666666667,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01782.c,mmp_01782,0.9533198972753489
48,sockets,close,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,15.640166666666667,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01783.c,mmp_01783,1.0292921004678124
32,cores,master,dynamic, ,#pragma unroll,#pragma omp for nowait, ,XL,15.7664,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01784.c,mmp_01784,1.0210510960016235
64,cores,close,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,15.6741,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01785.c,mmp_01785,1.027063754856738
128,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,16.35813333333333,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01786.c,mmp_01786,0.9841159545506415
64,sockets,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,16.0272,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01787.c,mmp_01787,1.0044362084456422
4,sockets,master,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,15.6777,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01788.c,mmp_01788,1.0268279148089323
2,sockets,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,XL,15.748033333333336,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01789.c,mmp_01789,1.0222419307384412
64,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,XL,15.992399999999998,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01790.c,mmp_01790,1.0066218954003152
16,cores,close,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,15.6638,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01791.c,mmp_01791,1.027739118221632
256,cores,master,static,#pragma omp parallel for, ,#pragma omp for nowait, ,XL,16.867366666666666,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01792.c,mmp_01792,0.9544050543356896
48,threads,close,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,15.622166666666663,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01793.c,mmp_01793,1.0304780600215506
8,cores,master,static,#pragma omp parallel for, ,#pragma omp for nowait, ,XL,15.7281,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01794.c,mmp_01794,1.0235374902245025
32,threads,close,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,15.830800000000002,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01795.c,mmp_01795,1.0168974404325744
16,cores,master,static, , ,#pragma omp for, ,XL,15.778733333333332,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01796.c,mmp_01796,1.0202529987620468
8,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,XL,15.818733333333332,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01797.c,mmp_01797,1.017673138599382
32,sockets,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,15.820033333333331,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01798.c,mmp_01798,1.0175895120322123
16,sockets,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,XL,15.7595,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01799.c,mmp_01799,1.0214981439766488
256,sockets,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,16.857733333333332,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01800.c,mmp_01800,0.9549504480634011
192,sockets,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,XL,16.700366666666667,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01801.c,mmp_01801,0.9639488953336353
256,sockets,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,XL,17.08366666666667,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01802.c,mmp_01802,0.9423211254414545
2,cores,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,XL,15.6923,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01804.c,mmp_01804,1.025872561702236
256,threads,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,17.037966666666666,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01806.c,mmp_01806,0.9448486615186866
4,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,XL,16.044666666666668,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01807.c,mmp_01807,1.0033427514854363
32,cores,close,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,15.669,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01808.c,mmp_01808,1.027398047099368
2,threads,master,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,XL,15.712866666666669,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01809.c,mmp_01809,1.024529790872024
192,sockets,master,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,XL,16.6638,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01810.c,mmp_01810,0.9660641630360421
16,threads,close,static, ,#pragma unroll,#pragma omp for, ,XL,15.748166666666668,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01811.c,mmp_01811,1.0222332758310488
64,sockets,spread,dynamic,#pragma omp parallel for, ,#pragma omp for, ,XL,15.9899,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01812.c,mmp_01812,1.0067792794201338
256,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,16.985033333333334,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01813.c,mmp_01813,0.9477932532759232
8,sockets,spread,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,XL,15.7335,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01814.c,mmp_01814,1.0231861950614929
8,threads,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,XL,15.6775,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01815.c,mmp_01815,1.0268410141923137
128,cores,spread,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,16.367,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01816.c,mmp_01816,0.9835828190871875
64,cores,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,15.9722,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01817.c,mmp_01817,1.0078949675060416
16,cores,master,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,15.7046,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01818.c,mmp_01818,1.0250690880378996
128,sockets,master,dynamic, ,#pragma unroll,#pragma omp for, ,XL,15.7012,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01819.c,mmp_01819,1.025291060555881
16,cores,close,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,15.867200000000002,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01820.c,mmp_01820,1.0145646364828071
32,sockets,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,15.8577,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01821.c,mmp_01821,1.015172439887247
48,cores,close,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,15.925366666666667,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01822.c,mmp_01822,1.0108589859783448
16,sockets,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,16.17363333333333,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01823.c,mmp_01823,0.9953422133554819
128,cores,master,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,15.6554,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01824.c,mmp_01824,1.028290557890568
128,sockets,spread,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,15.702999999999998,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01825.c,mmp_01825,1.0251735337196715
96,sockets,close,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,XL,16.186366666666668,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01826.c,mmp_01826,0.9945592072340713
8,sockets,close,dynamic, , ,#pragma omp for, ,XL,15.685700000000002,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01827.c,mmp_01827,1.0263042133918152
128,sockets,close,static, , ,#pragma omp for nowait, ,XL,15.6527,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01828.c,mmp_01828,1.0284679320500616
4,cores,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,15.662733333333335,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01829.c,mmp_01829,1.0278091095211135
32,sockets,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,15.777866666666668,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01830.c,mmp_01830,1.0203090405124475
128,sockets,spread,static,#pragma omp parallel for, ,#pragma omp for nowait, ,XL,16.2162,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01831.c,mmp_01831,0.9927294927294926
4,cores,master,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,15.666333333333334,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01832.c,mmp_01832,1.0275729270835547
256,threads,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,XL,16.872666666666667,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01833.c,mmp_01833,0.954105258998775
256,cores,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,16.88403333333333,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01834.c,mmp_01834,0.953462936383684
192,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,XL,16.587999999999994,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01835.c,mmp_01835,0.970478659271763
4,threads,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,15.666199999999998,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01836.c,mmp_01836,1.0275816726455682
8,threads,master,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,15.644533333333332,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01837.c,mmp_01837,1.0290048067908706
128,cores,master,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,XL,16.302433333333333,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01838.c,mmp_01838,0.9874783519024767
48,sockets,master,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,XL,15.9746,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01839.c,mmp_01839,1.007743542874313
192,sockets,close,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,15.6218,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01840.c,mmp_01840,1.0305022468601568
2,sockets,close,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,XL,15.609133333333334,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01841.c,mmp_01841,1.0313384898585014
256,cores,close,dynamic,#pragma omp parallel for, ,#pragma omp for, ,XL,16.959833333333332,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01842.c,mmp_01842,0.9492015448265018
128,cores,master,static, ,#pragma unroll (6),#pragma omp for nowait, ,XL,15.6153,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01843.c,mmp_01843,1.0309312020902575
4,sockets,spread,static, ,#pragma unroll,#pragma omp for nowait, ,XL,15.6654,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01844.c,mmp_01844,1.0276341491439733
4,threads,close,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,15.679466666666668,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01845.c,mmp_01845,1.0267122181026564
2,threads,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,15.649033333333335,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01846.c,mmp_01846,1.0287089085374812
4,threads,spread,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,15.693133333333336,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01847.c,mmp_01847,1.025818086041878
256,threads,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,XL,16.947300000000002,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01848.c,mmp_01848,0.9499035244552227
16,threads,spread,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,15.620666666666663,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01849.c,mmp_01849,1.0305770133583716
96,cores,close,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,15.667133333333336,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01850.c,mmp_01850,1.0275204568374556
32,cores,master,static, ,#pragma unroll,#pragma omp for nowait, ,XL,15.635733333333333,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01851.c,mmp_01851,1.0295839444690793
16,cores,close,dynamic,#pragma omp parallel for, ,#pragma omp for, ,XL,15.701466666666668,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01852.c,mmp_01852,1.0252736474724227
16,sockets,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,XL,15.759466666666668,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01853.c,mmp_01853,1.021500304578835
48,cores,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,XL,15.927533333333333,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01854.c,mmp_01854,1.0107214760184668
64,threads,master,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,XL,16.058066666666665,bliss_seed_2024,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/SW4Lite_JOBS/sw4lite/mmp_01855.c,mmp_01855,1.0025054904907607
