p0,p1,p2,p3,p4,p5,p6,p7,size,objective,source,id,filename,speedup
192,threads,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,M,8.34693,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_032.c,mmp_032,1.0370878874029132
192,sockets,master,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.32121,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_033.c,mmp_033,1.0402934188657658
64,sockets,close,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.32966,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_034.c,mmp_034,1.039238096152784
2,threads,spread,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.31845,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_035.c,mmp_035,1.0406385805047815
8,cores,close,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,M,8.33417,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_036.c,mmp_036,1.0386757169580174
96,cores,master,static, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.23605,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_037.c,mmp_037,1.0510499572003569
256,cores,master,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.227839999999999,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_038.c,mmp_038,1.0520987282202863
256,cores,master,static, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.258,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_039.c,mmp_039,1.0482562363768468
48,cores,master,static, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.22908,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_040.c,mmp_040,1.0519401925853193
4,cores,master,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.24431,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_041.c,mmp_041,1.049996906957647
16,cores,master,static, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.39408,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_042.c,mmp_042,1.0312625088157366
128,threads,spread,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.27281,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_043.c,mmp_043,1.046379646093649
192,threads,spread,static, , ,#pragma omp for, ,M,8.24279,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_044.c,mmp_044,1.0501905301481658
192,threads,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,M,8.2445,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_045.c,mmp_045,1.0499727090787796
256,threads,spread,dynamic, ,#pragma unroll,#pragma omp for, ,M,8.26287,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_046.c,mmp_046,1.0476384113510198
64,threads,spread,dynamic, ,#pragma unroll,#pragma omp for, ,M,8.20734,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_047.c,mmp_047,1.0547266227547536
32,sockets,spread,dynamic, ,#pragma unroll,#pragma omp for, ,M,8.23432,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_048.c,mmp_048,1.0512707788864168
4,cores,spread,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.24513,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_049.c,mmp_049,1.0498924819863362
4,cores,spread,dynamic, , ,#pragma omp for, ,M,8.19947,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_050.c,mmp_050,1.055738968494305
4,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for, ,M,8.24151,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_051.c,mmp_051,1.0503536366515358
4,cores,spread,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.22919,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_052.c,mmp_052,1.0519261312474253
4,cores,master,dynamic, , ,#pragma omp for, ,M,8.22602,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_053.c,mmp_053,1.052331504178205
4,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.221210000000001,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_054.c,mmp_054,1.0529471939045467
48,threads,spread,dynamic, , ,#pragma omp for, ,M,8.22064,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_055.c,mmp_055,1.053020202806594
128,threads,spread,dynamic, ,#pragma unroll,#pragma omp for, ,M,8.20663,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_056.c,mmp_056,1.0548178728662068
4,cores,spread,dynamic, ,#pragma unroll,#pragma omp for, ,M,8.19795,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_057.c,mmp_057,1.0559347153861636
4,threads,spread,dynamic, , ,#pragma omp for, ,M,8.33048,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_058.c,mmp_058,1.0391358000979536
4,cores,close,dynamic, ,#pragma unroll,#pragma omp for, ,M,8.33664,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_059.c,mmp_059,1.038367975587287
256,threads,spread,dynamic, ,#pragma unroll,#pragma omp for nowait, ,M,8.33413,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_060.c,mmp_060,1.0386807021248767
8,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,M,8.32088,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_061.c,mmp_061,1.0403346761400234
4,threads,spread,dynamic, ,#pragma unroll,#pragma omp for, ,M,8.27175,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_062.c,mmp_062,1.0465137365128296
4,threads,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.29331,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_063.c,mmp_063,1.0437931296430496
256,threads,spread,dynamic, ,#pragma unroll (6),#pragma omp for, ,M,8.330810000000001,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_064.c,mmp_064,1.0390946378563426
4,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.33188,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_065.c,mmp_065,1.0389611948323787
256,cores,master,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,M,8.32344,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_066.c,mmp_066,1.04001470545832
4,cores,spread,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.30683,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_067.c,mmp_067,1.0420942766374177
64,cores,master,dynamic, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.308,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_068.c,mmp_068,1.041947520462205
192,cores,spread,static, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.29725,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_069.c,mmp_069,1.0432974780800868
256,cores,spread,static, ,#pragma unroll (6),#pragma omp for nowait, ,M,8.31137,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_070.c,mmp_070,1.0415250434043966
192,cores,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.32012,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_071.c,mmp_071,1.0404297053407883
4,threads,spread,static, , ,#pragma omp for nowait, ,M,8.31945,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_072.c,mmp_072,1.0405134954834754
