p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,actually_measured,lookahead,model_name,acquisition_function
256,640,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,80,explicit,cores,-1.4309333333333332,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,400,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,64,compact,sockets,-1.0129350000000001,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,1600, , ,256,128,64,none,sockets,-1.386615,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,640, ,#pragma omp parallel for,96,16,64,explicit,threads,-1.1943599999999999,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,400,#pragma clang loop unrolling full, ,16,128,64,compact,sockets,-1.1733433333333332,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,640, ,#pragma omp parallel for,256,32,40,explicit,sockets,-1.297,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,1000, ,#pragma omp parallel for,256,16,40,none,cores,-1.4616033333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,800,#pragma clang loop unrolling full, ,96,8,200,balanced,sockets,-1.6352266666666668,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
16,100,#pragma clang loop unrolling full, ,96,128,200,none,sockets,-0.5702533333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000, , ,32,16,64,disabled,cores,-1.3231216666666665,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,640, ,#pragma omp parallel for,256,256,200,explicit,cores,-1.25528,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, ,#pragma omp parallel for,16,32,64,none,cores,-1.4301666666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,800,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,100,none,sockets,-1.21343,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
16,640,#pragma clang loop unrolling full,#pragma omp parallel for,256,16,64,none,sockets,-0.5761649999999999,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,200,none,cores,-1.450598333333333,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
32,640,#pragma clang loop unrolling full,#pragma omp parallel for,256,64,64,none,sockets,-1.4497666666666669,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
32,640,#pragma clang loop unrolling full,#pragma omp parallel for,256,8,20,none,sockets,-1.4116916666666668,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
16,640,#pragma clang loop unrolling full, ,256,32,20,none,sockets,-0.5784583333333333,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
32,400,#pragma clang loop unrolling full,#pragma omp parallel for,256,64,20,none,sockets,-1.4637683333333333,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
32,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,20,none,sockets,0.2911778798324449,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,10,none,sockets,0.8790915078335111,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,128,20,none,sockets,-1.438175,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,100, ,#pragma omp parallel for,256,128,100,none,sockets,-1.48396,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,100,#pragma clang loop unrolling full, ,256,96,10,none,sockets,-1.5783033333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
