p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,100,balanced,sockets,0.094225,2470.2998361587524
32,100,#pragma clang loop unrolling full, ,128,16,100,balanced,cores,0.09482,2486.48188829422
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,100,balanced,threads,0.09498000000000001,2503.2527594566345
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,96,100,balanced,cores,0.09449,2527.2412304878235
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,100,compact,sockets,0.101865,2554.140881538391
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,80,none,threads,0.09509999999999999,2583.5591099262238
64,100, ,#pragma omp parallel for,256,32,100,balanced,sockets,0.103115,2610.2883853912354
32,100,#pragma clang loop unrolling full, ,32,256,64,scatter,cores,0.099415,2626.5928802490234
32,100, ,#pragma omp parallel for,32,256,100,scatter,threads,0.10427,2656.87508893013
64,100, ,#pragma omp parallel for,16,256,40,balanced,threads,0.11258499999999999,2674.6476912498474
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,100,balanced,cores,0.09482,2691.5898706912994
32,100, ,#pragma omp parallel for,96,64,20,none,cores,0.094055,2708.318601369858
32,100, , ,4,256,100,balanced,sockets,0.09520999999999999,2724.597529888153
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,256,100,balanced,cores,0.10721,2741.757751226425
64,100, ,#pragma omp parallel for,32,4,128,balanced,sockets,0.10711,2758.435371398926
64,100, ,#pragma omp parallel for,32,4,100,explicit,cores,0.17117,2775.2569341659546
32,100,#pragma clang loop unrolling full, ,4,64,128,balanced,sockets,0.094205,2792.1803545951843
64,100, ,#pragma omp parallel for,8,32,100,scatter,cores,0.10842,2808.8974249362946
64,100,#pragma clang loop unrolling full, ,32,96,160,balanced,threads,0.101305,2825.2964832782745
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,100,explicit,cores,0.09432499999999999,2841.8214778900146
16,100, ,#pragma omp parallel for,4,2,10,balanced,sockets,0.127325,2858.592575788498
64,100, ,#pragma omp parallel for,64,256,128,balanced,sockets,0.10588,2875.3166873455048
32,100,#pragma clang loop unrolling full, ,32,256,100,balanced,cores,0.09386,2891.7278838157654
32,100,#pragma clang loop unrolling full, ,32,2,100,balanced,threads,0.09526000000000001,2907.9722776412964
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,256,100,none,threads,0.123495,2924.986577987671
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,100,explicit,cores,0.11187,2941.7070083618164
32,100, , ,32,256,10,compact,cores,0.097955,2957.89174079895
64,100, ,#pragma omp parallel for,128,64,100,balanced,sockets,0.10102,2974.620392560959
32,100,#pragma clang loop unrolling full, ,32,256,200,disabled,cores,0.09783,2991.260281085968
64,100, ,#pragma omp parallel for,4,256,10,balanced,cores,0.10471,3008.0766220092773
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,64,compact,cores,0.104045,3024.622359752655
64,100,#pragma clang loop unrolling full, ,32,256,100,compact,threads,0.11037,3041.111324071884
96,100, ,#pragma omp parallel for,4,256,100,balanced,cores,0.11419499999999999,3058.4514813423157
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,160,balanced,cores,0.10209,3075.3351259231567
64,100, ,#pragma omp parallel for,32,8,100,balanced,sockets,0.1049,3092.1709644794464
32,100, , ,32,256,100,balanced,sockets,0.09454,3108.6003892421722
192,100, , ,2,32,80,compact,sockets,0.133435,3125.057344675064
64,100, ,#pragma omp parallel for,32,2,10,balanced,cores,0.10508,3141.6545267105103
32,100,#pragma clang loop unrolling full, ,32,128,100,explicit,cores,0.095215,3158.036472797394
192,100, , ,128,8,64,compact,sockets,0.1441,3174.4171681404114
192,100, , ,4,256,200,compact,sockets,0.13202,3190.9583220481873
48,100, ,#pragma omp parallel for,4,64,80,balanced,sockets,0.10145,3207.5810689926147
4,100, ,#pragma omp parallel for,256,96,100,balanced,sockets,0.48395,3225.448802471161
32,100, ,#pragma omp parallel for,256,4,160,disabled,cores,0.095705,3242.5464465618134
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,128,balanced,sockets,0.093555,3259.2836837768555
32,100, ,#pragma omp parallel for,256,4,100,balanced,threads,0.09431,3275.8818576335907
32,100, , ,256,96,160,balanced,cores,0.093505,3292.3497772216797
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,80,explicit,sockets,0.093545,3309.020097255707
8,100, ,#pragma omp parallel for,4,256,10,none,sockets,0.24741000000000002,3326.183167695999
32,100, , ,256,16,160,none,sockets,0.09462999999999999,3343.141731262207
