p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
48,100, ,#pragma omp parallel for,2,128,10,balanced,cores,0.933245,2018.2006368637085
48,100, , ,128,32,64,balanced,cores,0.935505,2036.8739805221558
64,200, , ,2,64,100,balanced,cores,0.9410700000000001,2059.2597098350525
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,128,64,100,balanced,sockets,0.93526,2078.4587013721466
64,200, ,#pragma omp parallel for,64,128,200,balanced,cores,0.943675,2097.6827890872955
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,10,compact,threads,0.939765,2116.7048790454865
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,40,balanced,cores,0.93848,2135.9414732456207
64,100,#pragma clang loop unrolling full, ,64,32,10,balanced,cores,0.931555,2154.5917489528656
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,200,balanced,cores,0.93303,2173.861487865448
64,200, , ,64,64,200,balanced,sockets,0.937985,2192.528823375702
48,200, ,#pragma omp parallel for,96,64,10,explicit,cores,0.940835,2211.8024368286133
64,200,#pragma clang loop unrolling full, ,256,64,80,balanced,sockets,0.9304250000000001,2230.529464006424
48,100, , ,64,256,100,balanced,cores,0.92806,2249.2908368110657
48,100, , ,8,2,10,balanced,cores,0.927805,2268.0221910476685
48,100, , ,16,96,10,balanced,cores,0.92677,2286.9447824954987
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,80,balanced,cores,0.9332499999999999,2305.8136727809906
48,100, , ,2,64,10,balanced,threads,0.93443,2324.774157524109
48,100, , ,64,4,100,balanced,cores,0.932215,2343.4687416553497
64,200, ,#pragma omp parallel for,32,64,40,balanced,threads,0.9363999999999999,2362.4029688835144
64,200, ,#pragma omp parallel for,2,64,64,balanced,threads,0.9797499999999999,2382.0580332279205
96,100, ,#pragma omp parallel for,64,64,10,balanced,sockets,1.0347,2402.68750667572
64,640, ,#pragma omp parallel for,8,64,10,balanced,sockets,0.9674400000000001,2429.685606479645
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,32,20,balanced,cores,0.93563,2448.8273248672485
64,800,#pragma clang loop unrolling full,#pragma omp parallel for,8,64,10,balanced,cores,0.96731,2468.24050450325
64,100,#pragma clang loop unrolling full, ,32,64,10,balanced,cores,0.92945,2486.8936638832092
48,100,#pragma clang loop unrolling full, ,256,128,100,balanced,cores,0.931435,2505.8158826828003
48,100,#pragma clang loop unrolling full, ,8,32,160,balanced,cores,0.92866,2524.530288696289
64,200,#pragma clang loop unrolling full, ,256,64,64,balanced,cores,0.9348000000000001,2543.5938427448273
48,100, ,#pragma omp parallel for,64,2,200,balanced,cores,0.92657,2562.768917322159
48,1280, , ,64,64,10,balanced,threads,0.984505,2581.7006900310516
64,200, , ,32,64,10,balanced,sockets,0.948555,2600.4839174747467
48,100, , ,96,64,100,balanced,cores,0.92847,2619.7042071819305
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,4,10,balanced,threads,0.929385,2638.6940944194794
48,100,#pragma clang loop unrolling full, ,256,256,20,balanced,cores,0.9299299999999999,2658.030745983124
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,10,balanced,cores,0.93632,2677.593103170395
48,1600,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,20,balanced,threads,1.02376,2696.8759384155273
48,100, , ,128,32,80,balanced,cores,0.933225,2718.8849840164185
