objective,p0,p1,p2,p3,p4,p5
0.0074756666666666,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,16,16
0.0021306666666666, , , ,96,20,64
0.0018186666666666, , , ,96,32,50
0.001852, , , ,96,4,16
0.0025821666666666, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,16
0.0025345, , , ,4,20,32
0.0026421666666666, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,16
0.0024298333333333, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,16
0.00278, , , ,100,20,16
0.0022916666666666, , , ,96,20,256
0.0024456666666666, , , ,96,32,256
0.0054589999999999,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,50,16
0.0032714999999999, , , ,96,32,4
0.002742, , , ,16,20,16
0.002587, , , ,96,8,16
0.0029243333333333, , , ,96,20,8
0.007676,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,20,16
0.0027938333333333, , , ,80,20,16
0.001947, , , ,96,20,100
0.0106601666666666,#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,20,16
0.0028143333333333, , , ,128,32,16
0.0027309999999999, , , ,8,20,16
0.002274, , , ,128,20,64
0.0048161666666666,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,128,16
0.0025423333333333, , , ,32,20,16
0.0027173333333333, , , ,96,80,16
0.0024163333333333, , , ,96,128,50
0.0018291666666666, , , ,64,20,80
0.0027061666666666, , , ,50,20,16
0.0052983333333333,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,50,20
0.0032005, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,16
0.0020211666666666, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,50,16
0.0075343333333333,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,20,16
0.0024259999999999, , , ,8,8,16
0.0047323333333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,50,16
0.0107586666666666, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,20,8
0.0027001666666666, , , ,96,2048,16
0.0043165, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,20,256
0.0074086666666666, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,20,16
0.004252, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,20,50
0.0145894999999999,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,16,4
