p0,p1,p2,p3,p4,p5,isize,objective,elapsed_sec
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,8,30,0.0033485,4714.706317663193
 , , ,16,128,32,30,0.0028355,4985.367459774016
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,8,128,30,0.0054605,5025.143990755081
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,8,8,30,0.010495,5453.696825027466
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,16,16,30,0.0080215,5902.5072231292725
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,4,30,0.0039015,6342.869488954543
 , , ,80,32,80,30,0.0022935,6743.7362082004565
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,80,4,30,0.0083474999999999,7113.753370285034
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,128,16,30,0.005731,7622.658038377763
 , , ,128,20,32,30,0.001975,7656.736448049543
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,128,20,30,0.005055,7688.368302822113
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,64,80,30,0.0040285,7892.159394741058
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,16,32,30,0.0026585,8211.899305582047
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,32,80,30,0.003917,8729.058838129044
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,8,256,30,0.0057094999999999,8998.21272110939
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,256,30,0.0028274999999999,9139.931064128876
