objective,p0,p1,p2,p3,p4,p5
16.1657465, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,32,256
77.75367833333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,50,8
21.160765166666664,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,2048,256
14.571005166666668, , , ,4,80,256
14.846846333333334, , , ,128,32,256
14.619828500000002, , , ,32,32,256
15.7725715, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,256
17.238687333333335, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,256
31.05595233333333, , , ,8,32,50
14.809543833333334, , , ,100,32,256
21.627920333333336, ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,256
20.641284, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,32,256
15.834828833333331, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,256
38.30275183333334, , , ,64,32,4
14.680355833333332, , , ,8,80,256
33.282123166666665, , , ,8,64,20
20.746702666666668, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,80,256
44.4186575,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,32,20
14.551392, , , ,8,64,256
32.403363500000005, , , ,32,32,4
28.5173245, , , ,64,32,100
32.60916883333333, , , ,8,32,4
14.498846166666668, , , ,8,50,256
14.591984666666669, , , ,8,16,256
31.838201, , , ,8,32,16
29.82791633333333, , , ,8,64,64
21.130708, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,2048,256
17.12734616666667, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,80,256
20.619163333333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,32,256
15.765102166666669, , , ,4,4,256
29.72344483333333, , , ,8,32,64
14.733073000000005, , , ,96,32,256
14.5996795, , , ,8,2048,256
14.640834999999996, , , ,96,16,256
36.33977816666667,#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,256
38.4625155,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,32,32
27.673715833333333, , , ,8,32,100
20.91113633333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,64,256
14.585593333333335, , , ,64,32,256
20.386848,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,16,256
14.608332499999998, , , ,50,32,256
21.34030133333333, , , ,8,32,128
35.3565355, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,32,80
58.84607416666666,#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,16
33.284152166666665, ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,100
110.9090145, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,8,4
28.5378655, , , ,100,64,128
35.950328333333324, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,64,128
30.30726283333333, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,64,128
37.07810633333333,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,80,128
26.680241666666664, , , ,100,50,128
31.88055383333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,50,128
31.493658666666665, , , ,100,2048,128
30.8146515, , , ,100,100,128
32.110356,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,50,128
33.569711000000005, , , ,100,50,50
30.43030016666667, , , ,100,128,128
29.342556833333333, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,128
26.002277333333332, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,128
