p0,p1,p2,p3,p4,p5,p6,p7,isize,objective,elapsed_sec
32,sockets,spread,static,#pragma omp parallel for, ,#pragma omp for nowait, ,8,16.1261,24501.045286417007
96,sockets,spread,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,15.845,24660.393532037735
16,cores,close,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,15.8595,25670.680639505386
2,threads,close,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,8,15.8164,26645.256747722622
2,threads,close,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,8,16.0181,27962.681310415268
64,sockets,master,dynamic, ,#pragma unroll,#pragma omp for nowait, ,8,15.9086,28863.738310098648
4,cores,master,dynamic, ,#pragma unroll (6),#pragma omp for, ,8,15.9538,30118.53602313996
32,threads,close,static, , ,#pragma omp for, ,8,15.7437,31248.268125057217
8,sockets,spread,static, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8,15.7596,32151.47258114815
192,cores,close,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,8,16.6548,32899.34947490692
64,threads,spread,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8,15.9894,33605.815747499466
64,threads,master,static, ,#pragma unroll,#pragma omp for, ,8,16.0281,34463.41401934624
64,cores,close,static, ,#pragma unroll (6),#pragma omp for, ,8,16.0064,35425.131914138794
48,threads,close,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8,16.1028,36896.5460588932
16,cores,master,dynamic, , ,#pragma omp for nowait, ,8,15.8892,37968.59743070602
2,sockets,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,8,15.7146,39586.719044446945
8,sockets,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,8,15.9724,40954.319741010666
2,sockets,spread,static, ,#pragma unroll (6),#pragma omp for nowait, ,8,15.6474,41414.66668748856
96,cores,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,8,16.3788,43052.68174791337
16,sockets,spread,dynamic, , ,#pragma omp for, ,8,15.6567,43980.54538273811
128,cores,close,static, ,#pragma unroll,#pragma omp for nowait, ,8,15.7762,44845.69456076622
256,threads,spread,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8,15.7466,46593.03890752792
