p0,p1,p2,p3,p4,p5,p6,p7,p8,size,objective,source,id,filename,speedup
64,100, , ,32,16,40,compact,threads,S,0.10247,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_037.c,mmp_037,1.838635698253147
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,20,compact,sockets,S,0.104975,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_038.c,mmp_038,1.7947606572993569
64,100, ,#pragma omp parallel for,32,2,80,none,threads,S,0.110235,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_039.c,mmp_039,1.709121422415748
192,200,#pragma clang loop unrolling full, ,32,8,10,scatter,sockets,S,0.1540099999999999,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_040.c,mmp_040,1.2233296539185774
64,100, ,#pragma omp parallel for,32,96,160,disabled,threads,S,0.115065,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_041.c,mmp_041,1.6373788728110197
64,100, ,#pragma omp parallel for,64,16,200,compact,sockets,S,0.10774,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_042.c,mmp_042,1.7487005754594394
64,100, ,#pragma omp parallel for,16,32,20,compact,threads,S,0.101125,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_043.c,mmp_043,1.8630902348578489
64,100, ,#pragma omp parallel for,64,96,64,compact,threads,S,0.107025,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_044.c,mmp_044,1.7603830880635365
64,100, ,#pragma omp parallel for,8,96,100,compact,threads,S,0.109325,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_045.c,mmp_045,1.723347816144523
64,100,#pragma clang loop unrolling full, ,16,4,100,compact,cores,S,0.1053349999999999,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_046.c,mmp_046,1.7886267622347762
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,4,100,compact,sockets,S,0.10987,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_047.c,mmp_047,1.714799308273414
64,100, , ,64,8,100,compact,cores,S,0.107955,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_048.c,mmp_048,1.7452179148719373
64,100, ,#pragma omp parallel for,4,96,100,compact,threads,S,0.10342,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_049.c,mmp_049,1.8217462773157995
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,4,64,compact,threads,S,0.10996,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_050.c,mmp_050,1.7133957802837394
192,800,#pragma clang loop unrolling full, ,32,16,10,scatter,sockets,S,0.19956,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_051.c,mmp_051,0.9441020244537983
64,100,#pragma clang loop unrolling full, ,2,96,100,compact,sockets,S,0.10976,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_052.c,mmp_052,1.7165178571428572
