p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,objective,predicted,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.5025415,0.5108656140500808,2265.308505296707
 , , ,4,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,3.8867830000000003,0.5109944641132117,2308.4170446395874
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,32,4, , , , ,2.3418395,0.511041559294771,2334.8045456409454
 , , ,4,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,3.658029,0.5115484308146182,2375.6525473594666
 , , ,100,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.4015364999999997,0.5121519047847646,2402.6176047325134
 , , ,4,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),5.4734335000000005,0.5122974212982323,2458.797766685486
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),5.5475495,0.5125704600814315,2515.8732681274414
 , , ,16,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),4.409123,0.5126883969093146,2560.6028702259064
 , , ,128,2048,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.2624835,0.5132248774996957,2586.455511569977
 , , ,96,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),3.9943465,0.5133357288513533,2627.6089549064636
 , , ,16,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.137724,0.5136430042426848,2670.984850883484
 , , ,100,32,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),3.92666,0.5144012233737275,2711.4214823246
 , , ,100,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.3430765,0.514738799710478,2737.8577296733856
 , , ,100,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.514224,0.5147391444365251,2765.848977804184
 , , ,64,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),4.537426,0.5152924882091647,2812.1428265571594
 , , ,16,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.6709370000000003,0.5153510642031128,2841.5322654247284
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),3.96456,0.5157161662035934,2882.5005815029144
 , , ,16,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.398204,0.516042771966192,2927.555534362793
 , , ,16,50,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,3.4696035,0.5160622179433446,2965.8133244514465
 , , ,4,128,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),5.399824499999999,0.5162040706566527,3022.3301401138306
 , , ,4,100,4, , , , ,3.7393475,0.5162433275254704,3063.518095970154
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.2176394999999998,0.5162716334949295,3088.606589317322
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.5826000000000002,0.5164024718137283,3117.316055059433
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,20,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.9292695,0.516615012577652,3148.880522251129
 , , ,100,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.04972,0.5167408541498528,3190.5202403068542
 , , ,16,128,4, , , , ,2.356972,0.5169789710083849,3217.004413127899
 , , ,16,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),4.7927485,0.5169808669391448,3265.5032947063446
 , , ,80,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.269364,0.5169979745493277,3290.951486825943
 , , ,100,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.1997160000000004,0.5169992267245455,3334.169984102249
 , , ,4,128,4, , , , ,3.6226260000000003,0.5172237836252687,3375.1586599349976
 , , ,4,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,5.827494,0.5178137078282093,3435.8713512420654
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,5.757158,0.5179434884977248,3495.662297964096
 , , ,8,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.9632115,0.5180649615780433,3545.666074037552
 , , ,16,8,4, , , , ,7.548947999999999,0.5182010022779301,3621.6889028549194
 , , ,100,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.5762025,0.5184402506654165,3650.1956799030304
 , , ,32,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.2249915,0.518611288714064,3675.3310208320618
 , , ,4,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),6.4471264999999995,0.5188335401957032,3740.8891038894653
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.311123,0.5188938334190835,3766.9942960739136
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.3075805,0.5189032264014304,3792.9299478530884
 , , ,80,4,4, , , , ,5.0103765,0.5189053420356395,3844.5321917533875
 , , ,16,128,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.1547555,0.5189385885942241,3887.7404193878174
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.447274999999999,0.5189714101845284,3932.9080579280853
 , , ,4,4,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),8.3027,0.5190623772197968,4014.4980313777924
 , , ,80,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),3.8987480000000003,0.5193142438774284,4054.9990706443787
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,50,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,3.240671,0.5194601682093356,4089.5424284934998
 , , ,4,128,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,3.619834,0.5195001058605834,4130.264337301254
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),4.918091,0.5196123526441045,4179.283891439438
 , , ,100,4,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,5.3200745000000005,0.5197393648952117,4233.685816049576
