p0,p1,p2,p3,p4,p5,p6,p7,p8,isize,objective,elapsed_sec
8,400, ,#pragma omp parallel for,96,64,200,disabled,threads,500000,1.1107200000000002,44170.02463698386
32,1600, ,#pragma omp parallel for,16,64,40,scatter,cores,500000,1.00615,46708.08973288536
48,800, ,#pragma omp parallel for,128,16,80,compact,cores,500000,1.00758,49555.35952544212
96,1000,#pragma clang loop unrolling full, ,8,2,80,none,sockets,500000,1.15648,51247.6933016777
2,800,#pragma clang loop unrolling full, ,32,2,160,compact,cores,500000,4.3768150000000015,53762.50233530998
48,1000,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,128,scatter,threads,500000,1.033495,56303.69018483162
16,100,#pragma clang loop unrolling full, ,128,128,10,compact,sockets,500000,0.77961,57865.52357316018
8,1280, , ,96,2,200,compact,cores,500000,1.479055,59896.17766189575
4,1280, ,#pragma omp parallel for,256,256,40,explicit,threads,500000,2.19625,61809.649550676346
2,1000,#pragma clang loop unrolling full, ,2,64,64,balanced,cores,500000,4.2852250000000005,63142.12217402457
32,400,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,10,none,threads,500000,0.8907299999999999,64717.78534793854
48,1280,#pragma clang loop unrolling full, ,96,8,160,disabled,cores,500000,0.9965,65815.79734921455
48,100,#pragma clang loop unrolling full, ,2,64,128,disabled,cores,500000,0.8921549999999999,67238.38759469986
16,100, , ,128,8,40,none,sockets,500000,0.57965,69962.89692521095
64,2000, , ,96,96,40,none,threads,500000,1.135915,72358.76563072205
16,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,100,explicit,threads,500000,0.5760000000000001,73384.21422362328
96,200, ,#pragma omp parallel for,8,2,128,balanced,cores,500000,0.940415,76077.19159507751
32,400,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,10,explicit,sockets,500000,0.907575,78831.67521190642
256,100, , ,256,2,64,balanced,cores,500000,0.98646,81618.08137774467
4,1280, ,#pragma omp parallel for,16,8,200,explicit,sockets,500000,2.202,84159.48509478569
192,640,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,40,compact,sockets,500000,0.314645,19.684646606445312
128,1000, , ,16,128,160,compact,sockets,500000,0.29337,35.588294267654426
96,640,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,100,none,sockets,500000,0.28816,52.05958390235901
2,200,#pragma clang loop unrolling full, ,4,128,10,compact,cores,500000,6.165245,123.93472909927368
64,800, ,#pragma omp parallel for,4,256,20,disabled,sockets,500000,0.287995,140.24337601661682
4,400, , ,16,32,80,explicit,cores,500000,2.20563,176.17289614677432
8,200,#pragma clang loop unrolling full, ,16,64,10,scatter,sockets,500000,1.59695,203.94122290611267
96,200, ,#pragma omp parallel for,32,16,20,balanced,cores,500000,0.25573,219.83731484413147
32,2000,#pragma clang loop unrolling full, ,8,256,10,balanced,sockets,500000,0.37847,238.06783604621887
256,800,#pragma clang loop unrolling full, ,8,2,200,balanced,threads,500000,0.359965,254.79059624671936
8,640, ,#pragma omp parallel for,2,4,160,compact,threads,500000,2.04071,287.36114954948425
32,640,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,20,explicit,cores,500000,0.42935,304.99200439453125
48,400,#pragma clang loop unrolling full, ,8,128,64,scatter,cores,500000,0.2985,321.51942396163935
32,800,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,128,scatter,sockets,500000,0.41788,338.8393597602844
192,1280, , ,16,8,160,compact,threads,500000,0.31038,355.2097136974335
8,1280, ,#pragma omp parallel for,64,32,160,scatter,sockets,500000,1.5922550000000002,384.21492052078247
96,400,#pragma clang loop unrolling full, ,8,8,64,balanced,threads,500000,0.255575,399.873286485672
64,800,#pragma clang loop unrolling full,#pragma omp parallel for,32,96,40,none,cores,500000,0.24133,416.15527176857
4,2000, ,#pragma omp parallel for,4,96,40,disabled,sockets,500000,2.737915,453.898829460144
192,100, ,#pragma omp parallel for,128,96,64,disabled,threads,500000,0.187105,470.118323802948
16,2000, ,#pragma omp parallel for,4,32,160,explicit,sockets,500000,0.7445149999999999,490.56673884391785
16,2000,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,64,none,cores,500000,0.74388,510.82948207855225
8,200, , ,4,16,100,scatter,threads,500000,1.59789,538.5846416950227
48,100, , ,256,32,200,scatter,threads,500000,0.29686,554.5516464710237
256,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,40,none,threads,500000,0.30981,571.4562492370604
2,1280, , ,2,128,128,balanced,sockets,500000,4.787294999999999,632.5404062271117
256,100, ,#pragma omp parallel for,64,16,128,explicit,sockets,500000,0.3018499999999999,649.490770816803
32,2000,#pragma clang loop unrolling full,#pragma omp parallel for,8,256,20,none,threads,500000,0.4362,667.2014579772948
2,2000,#pragma clang loop unrolling full, ,8,256,160,compact,cores,500000,4.596369999999999,732.5088407993318
96,1600, , ,2,64,10,compact,threads,500000,0.368885,749.0827708244324
64,1600, ,#pragma omp parallel for,64,4,128,disabled,sockets,500000,0.326635,765.684473991394
192,800,#pragma clang loop unrolling full, ,96,8,80,disabled,sockets,500000,0.30921,781.8696548938751
48,1280, , ,2,32,80,explicit,cores,500000,0.395805,798.8277690410614
16,1280,#pragma clang loop unrolling full, ,32,2,200,none,cores,500000,0.6695949999999999,818.6433777809143
4,400,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,40,scatter,sockets,500000,3.4569050000000003,864.354834318161
2,1600, ,#pragma omp parallel for,96,256,80,none,threads,500000,4.413785000000002,917.5327425003052
256,1600,#pragma clang loop unrolling full, ,256,96,100,explicit,threads,500000,0.44852,934.8316221237184
48,1000,#pragma clang loop unrolling full, ,4,64,128,balanced,threads,500000,0.306025,951.216063261032
48,100,#pragma clang loop unrolling full, ,96,2,100,scatter,cores,500000,0.285735,967.2380247116088
2,1000, ,#pragma omp parallel for,256,2,20,explicit,sockets,500000,4.410805,1024.3358662128446
128,200, , ,128,4,10,none,cores,500000,0.28397,1040.2713832855222
8,640,#pragma clang loop unrolling full,#pragma omp parallel for,32,96,200,scatter,cores,500000,1.606515,1069.4248175621033
256,400,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,80,balanced,threads,500000,0.347385,1086.267982959747
32,1280, , ,96,16,100,disabled,threads,500000,0.43134,1103.3591854572296
128,1600, ,#pragma omp parallel for,256,16,64,disabled,cores,500000,0.330265,1120.560345411301
128,640,#pragma clang loop unrolling full, ,2,32,100,compact,sockets,500000,0.32125,1136.8133573532104
192,1000, ,#pragma omp parallel for,64,2,20,explicit,cores,500000,0.331375,1153.8773880004885
16,400,#pragma clang loop unrolling full, ,96,256,80,balanced,cores,500000,0.716865,1173.640744447708
4,1000, , ,128,2,64,disabled,cores,500000,2.6221300000000003,1212.539759159088
96,100, ,#pragma omp parallel for,256,8,200,disabled,threads,500000,0.18011,1228.5127184391024
4,200, , ,8,256,80,compact,cores,500000,3.592785,1491.0493767261505
16,640,#pragma clang loop unrolling full, ,8,256,200,balanced,sockets,500000,0.7048949999999999,1639.8338401317596
2,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,200,none,threads,500000,4.393325000000001,1898.1094505786896
96,2000, ,#pragma omp parallel for,64,128,128,disabled,sockets,500000,0.33614,2067.258661031723
96,800,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,200,balanced,threads,500000,0.32145,2192.158639669419
2,1600,#pragma clang loop unrolling full, ,32,16,40,none,cores,500000,4.5130750000000015,2385.862090587616
64,640, ,#pragma omp parallel for,4,256,200,none,threads,500000,0.3112,2613.141685247421
32,2000,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,40,balanced,sockets,500000,0.43272,2839.330833911896
32,1000, ,#pragma omp parallel for,64,2,80,balanced,threads,500000,0.396915,2936.5869374275208
4,400, , ,16,16,200,scatter,sockets,500000,3.3938050000000004,3210.738838672638
256,400,#pragma clang loop unrolling full, ,64,256,160,disabled,cores,500000,0.378415,3391.047858715057
4,1000,#pragma clang loop unrolling full, ,16,16,64,disabled,sockets,500000,2.83861,3701.5691945552826
16,1600, ,#pragma omp parallel for,128,128,200,balanced,sockets,500000,0.97055,4012.5411262512207
4,100, , ,64,256,20,balanced,cores,500000,3.42036,4245.963210105896
96,1600, ,#pragma omp parallel for,64,4,80,balanced,cores,500000,0.34474,4432.628428220749
96,800,#pragma clang loop unrolling full, ,64,16,10,compact,cores,500000,0.3127,4737.500199556351
8,400,#pragma clang loop unrolling full, ,32,4,10,balanced,threads,500000,1.58878,5087.082089185715
