p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,actually_measured,lookahead,model_name,acquisition_function
16,2000, , ,2,16,160,explicit,cores,-11.392748333333332,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
192,800, ,#pragma omp parallel for,32,2,40,compact,cores,-17.692331666666664,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000,#pragma clang loop unrolling full, ,96,2,64,none,cores,-18.205078333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, , ,96,256,80,none,cores,-18.102193333333336,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,1280,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,200,compact,sockets,-24.50242833333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, , ,96,256,64,none,cores,-18.193683333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, , ,96,256,20,none,cores,-18.127175000000005,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,96,256,200,explicit,cores,-3.488817368608472,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
2,1000,#pragma clang loop unrolling full, ,256,96,200,none,cores,-4.662923353947364e-14,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
96,1000, ,#pragma omp parallel for,256,256,100,explicit,sockets,-17.95795,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,64,100,none,cores,-28.38235166666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
16,2000,#pragma clang loop unrolling full, ,256,256,100,explicit,threads,-11.39204,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1000, , ,96,128,100,none,sockets,-18.129506666666668,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1000, , ,256,128,200,explicit,cores,-18.088295,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,96,256,200,none,cores,-18.052035,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
2,640,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,160,explicit,threads,-89.23893166666666,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
8,1000, ,#pragma omp parallel for,96,32,128,scatter,cores,-22.046840000000003,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,80,none,sockets,-25.52603,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
192,1000,#pragma clang loop unrolling full, ,32,256,64,compact,threads,-17.800608333333333,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
8,1000,#pragma clang loop unrolling full, ,256,256,200,none,cores,-22.126685000000005,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
64,2000,#pragma clang loop unrolling full, ,256,64,80,none,cores,-18.693066666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,400,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,128,explicit,sockets,-17.809083333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,400, ,#pragma omp parallel for,96,32,100,explicit,cores,-17.889711666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,200,explicit,cores,-17.94504,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
64,1000,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,200,explicit,cores,-19.282591666666665,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
16,1000, ,#pragma omp parallel for,96,4,100,explicit,cores,-11.384403333333331,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,1600, ,#pragma omp parallel for,4,128,200,none,sockets,-22.817958333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,96,256,40,none,cores,-18.117563333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,2000,#pragma clang loop unrolling full, ,8,2,40,compact,cores,-20.34829333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,1600, ,#pragma omp parallel for,256,96,64,explicit,threads,0.0,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,640,#pragma clang loop unrolling full, ,8,32,100,scatter,threads,0.0,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000, ,#pragma omp parallel for,256,128,100,scatter,sockets,-4.007511377868932,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
64,1280, , ,256,128,20,balanced,cores,0.0,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
64,2000,#pragma clang loop unrolling full, ,128,64,64,disabled,sockets,-19.131371666666663,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,800,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,100,scatter,cores,-27.759155000000003,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1280, , ,256,16,10,none,threads,-17.936684999999997,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,2000, , ,8,16,128,explicit,cores,-18.8372,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
64,800, , ,64,96,80,disabled,cores,-21.273395,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200, ,#pragma omp parallel for,64,8,64,balanced,cores,-22.14155833333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,400, , ,96,64,80,disabled,threads,-43.832605,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1600, , ,4,64,20,none,sockets,-18.01807333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
2,400,#pragma clang loop unrolling full, ,4,128,40,scatter,sockets,-89.51678166666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,640, , ,8,32,40,disabled,threads,-23.496673333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,1280, , ,64,96,80,explicit,threads,-22.24605,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
96,400,#pragma clang loop unrolling full, ,32,16,64,compact,sockets,-18.50561666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,1600, ,#pragma omp parallel for,256,2,160,none,cores,-18.01815,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,1600,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,160,explicit,threads,-22.161573333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,100, , ,8,4,20,none,sockets,-44.06284,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,640, , ,96,64,40,none,threads,-18.10177333333333,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
128,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,100,explicit,sockets,-18.072596666666666,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,2000, ,#pragma omp parallel for,256,256,200,none,sockets,-18.390258333333332,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
128,1000, , ,256,128,100,explicit,cores,-17.965265,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
192,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,100,explicit,cores,-18.099533333333337,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
256,2000,#pragma clang loop unrolling full, ,96,128,200,explicit,cores,-18.30815,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, ,#pragma omp parallel for,256,128,100,none,cores,-18.367475,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, ,#pragma omp parallel for,256,256,100,none,cores,-18.333035,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, ,#pragma omp parallel for,64,128,64,none,cores,-18.321705,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, ,#pragma omp parallel for,8,2,100,none,cores,-18.34399,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
16,200,#pragma clang loop unrolling full, ,256,128,200,none,sockets,-1.6941618142262068e-11,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
2,400,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,80,compact,threads,0.0,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
