p0,p1,p2,p3,p4,p5,p6,p7,p8,size,objective,source,id,filename,speedup
4,64, , ,64,8,128,compact,cores,M,3.393345355987549,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_042.c,mmp_042,1.0694802441866005
4,64, , ,64,16,80,compact,sockets,M,3.4165587425231934,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_043.c,mmp_043,1.0622137927155497
4,64, , ,64,8,128,compact,threads,M,3.5722358226776123,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_044.c,mmp_044,1.0159228001948604
4,64, , ,4,96,128,compact,cores,M,3.437633991241455,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_045.c,mmp_045,1.0557016335006695
4,64, , ,256,128,128,balanced,sockets,M,3.3377275466918945,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_046.c,mmp_046,1.087301395684
4,64, , ,256,2,128,scatter,cores,M,3.357689619064331,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_047.c,mmp_047,1.0808371921352087
4,64, , ,256,256,128,scatter,cores,M,3.4777872562408447,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_048.c,mmp_048,1.0435128869423018
4,64, , ,16,64,128,balanced,sockets,M,3.4080011844635014,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_049.c,mmp_049,1.0648810324584255
4,64,#pragma clang unrolling full, ,96,4,128,compact,sockets,M,3.4782114028930664,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_050.c,mmp_050,1.0433856369145493
4,200, ,#pragma omp parallel for,128,32,80,scatter,cores,M,3.4922242164611816,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_051.c,mmp_051,1.0391989732001132
4,64, ,#pragma omp parallel for,256,2,80,balanced,sockets,M,3.4316649436950684,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_052.c,mmp_052,1.0575379238578448
4,64, , ,64,64,128,compact,cores,M,3.4351842403411865,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_053.c,mmp_053,1.0564544915269471
4,200, ,#pragma omp parallel for,256,32,80,balanced,sockets,M,3.3241517543792725,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_054.c,mmp_054,1.0917419203711127
4,200, ,#pragma omp parallel for,256,128,128,scatter,sockets,M,3.2401793003082275,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_055.c,mmp_055,1.120035492969727
4,200, , ,8,16,80,balanced,sockets,M,3.1760025024414062,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_056.c,mmp_056,1.1426678087127808
