objective,p0,p1,p2,p3,p4,p5,p6,p7,p8
0.9958275,4,80,#pragma clang unrolling full, ,96,256,128,compact,cores
1.0012605,8,80, , ,96,256,128,compact,threads
1.004791,4,80,#pragma clang unrolling full,#pragma omp parallel for,96,256,128,compact,threads
0.9940135,4,200,#pragma clang unrolling full, ,2,256,128,balanced,sockets
0.9994835,4,80, ,#pragma omp parallel for,128,256,128,compact,threads
0.9913965,4,80, , ,96,256,128,compact,cores
1.006605,4,64,#pragma clang unrolling full, ,96,256,128,compact,threads
0.9950995,4,20,#pragma clang unrolling full, ,96,256,128,compact,threads
0.990015,7,80,#pragma clang unrolling full, ,96,256,128,compact,threads
0.995107,4,80,#pragma clang unrolling full, ,8,128,128,balanced,sockets
1.001688,4,160,#pragma clang unrolling full, ,96,96,128,compact,threads
0.995246,4,80, , ,96,2,128,balanced,cores
0.99237,4,80,#pragma clang unrolling full,#pragma omp parallel for,96,256,40,compact,threads
1.004979,4,40,#pragma clang unrolling full, ,96,256,10,compact,threads
1.0038915,7,80,#pragma clang unrolling full, ,96,2,128,compact,threads
1.0001745,4,80,#pragma clang unrolling full, ,96,256,128,compact,sockets
1.011992,4,80,#pragma clang unrolling full, ,96,256,10,compact,threads
1.007656,4,80,#pragma clang unrolling full, ,96,256,160,compact,threads
1.0019025,4,80,#pragma clang unrolling full,#pragma omp parallel for,96,4,20,compact,threads
0.997827,6,80,#pragma clang unrolling full, ,96,256,128,compact,threads
0.996995,7,80,#pragma clang unrolling full, ,96,8,128,compact,threads
0.998138,4,80,#pragma clang unrolling full, ,96,96,128,compact,threads
1.003132,4,160,#pragma clang unrolling full, ,96,256,128,compact,threads
0.995076,5,80,#pragma clang unrolling full, ,96,256,128,scatter,threads
1.034549,4,80,#pragma clang unrolling full, ,32,256,128,compact,threads
0.9918135,4,80, , ,96,256,128,compact,threads
1.008267,4,80,#pragma clang unrolling full,#pragma omp parallel for,64,256,200,compact,threads
1.0052975000000002,4,80,#pragma clang unrolling full, ,96,96,128,balanced,threads
1.0048685,4,80,#pragma clang unrolling full, ,4,256,128,compact,threads
1.0006615,4,80,#pragma clang unrolling full, ,96,256,128,balanced,sockets
1.0011385,4,100,#pragma clang unrolling full,#pragma omp parallel for,32,256,128,compact,threads
1.0012995,4,80,#pragma clang unrolling full, ,128,256,128,compact,threads
0.9895735,4,80,#pragma clang unrolling full, ,128,256,128,balanced,threads
1.0033705,4,80,#pragma clang unrolling full, ,96,8,128,compact,threads
0.99307,4,80,#pragma clang unrolling full, ,96,256,128,balanced,cores
0.998287,4,80,#pragma clang unrolling full, ,96,256,100,compact,threads
1.008568,4,80,#pragma clang unrolling full, ,8,256,128,compact,threads
1.010804,4,80,#pragma clang unrolling full, ,16,256,128,compact,sockets
1.0309555,4,80, , ,96,4,128,balanced,threads
0.999067,4,80, , ,96,64,128,compact,threads
0.998273,4,80,#pragma clang unrolling full, ,96,256,200,compact,threads
1.0190905,5,80,#pragma clang unrolling full, ,96,256,128,compact,threads
1.012541,4,80,#pragma clang unrolling full,#pragma omp parallel for,256,256,128,compact,threads
1.001874,4,80,#pragma clang unrolling full, ,96,256,128,balanced,threads
1.0057635,5,80,#pragma clang unrolling full, ,96,32,128,compact,sockets
1.008542,8,80,#pragma clang unrolling full, ,96,256,128,compact,threads
1.009868,4,80,#pragma clang unrolling full, ,256,256,128,compact,threads
0.9960105,4,80,#pragma clang unrolling full, ,64,256,128,balanced,threads
0.9907445,4,160,#pragma clang unrolling full, ,96,32,128,compact,threads
