p0,p1,p2,p3,p4,p5,objective,elapsed_sec
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,2048,8,0.026969,1527.3281450271606
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,100,16,0.0200175,1539.1338770389557
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,128,4,0.0431635,1550.8246431350708
 , , ,128,4,4,0.010234,1561.8475677967072
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,256,0.0115455,1574.1639766693115
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,128,32,0.015016,1585.8631677627563
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,16,0.0122015,1597.456966161728
 , , ,128,128,8,0.0091985,1608.6528537273407
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,2048,100,0.0096445,1620.4203701019287
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,32,0.018151,1632.9145152568817
 , , ,128,32,8,0.010383,1644.6136713027954
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,2048,20,0.012747,1656.1411554813385
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,8,0.009364500000000001,1667.7880113124847
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,32,8,0.034384,1680.8163673877716
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,128,8,0.025606999999999998,1693.093816280365
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,100,64,0.009596,1704.856692790985
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,80,0.009626,1716.4778292179108
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,80,0.0079665,1727.5081565380096
 , , ,16,32,16,0.008333,1739.2362506389618
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,20,0.012538,1751.124355316162
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,64,0.0139555,1762.7024548053741
 , , ,16,2048,64,0.005744,1773.8762910366058
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,4,0.0098395,1785.9516170024872
