p0,p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,8,4,0.0041425,1350.1729345321655
 , , ,4,2048,32,0.000276,1361.9812655448914
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,64,50,0.0004825,1373.0461921691895
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,4,0.00464,1386.4532210826874
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,2048,100,0.000482,1398.1937868595123
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,128,32,0.000481,1409.6329555511475
 , , ,4,100,50,0.0002745,1421.2428097724915
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,8,4,0.0038545000000000003,1434.290323972702
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,32,0.00027550000000000003,1444.83434176445
 , , ,64,4,80,0.0002635,1456.3455023765564
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,4,0.0038634999999999997,1469.3698463439941
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,8,4,0.0051715,1482.5650787353516
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,8,4,0.005179,1495.7323756217957
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,50,0.0003725,1506.9501764774323
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,100,0.000265,1517.754518032074
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,8,4,0.0052060000000000006,1530.5256066322327
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,8,4,0.002737,1543.1025528907776
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,20,128,0.0004745,1554.1100056171417
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,8,4,0.012177,1567.3854629993439
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,8,4,0.0027445,1579.721536397934
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,4,0.0030595,1592.409651517868
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,0.003348,1605.3330748081207
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,32,4,0.0019875,1617.2314310073853
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,8,4,0.005221,1629.9616844654083
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,4,0.000327,1641.9685084819794
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,64,0.000484,1653.673799276352
 , , ,4,16,64,0.000244,1664.4767272472382
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,8,4,0.0052365,1677.4298553466797
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,8,4,0.0052215000000000004,1690.510348558426
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,8,4,0.00521,1703.3247320652008
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,8,4,0.0052320000000000005,1716.3146967887878
 , , ,4,16,8,0.0002435,1727.8928518295288
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,8,4,0.005223,1740.7376279830933
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,8,20,0.001022,1753.1255984306335
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,8,20,0.0010235,1765.6498045921326
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,32,16,0.0010005,1777.0531997680664
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,8,4,0.002813,1789.3001766204834
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,64,4,0.0019950000000000002,1801.321432352066
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,4,0.0020315000000000003,1813.9147143363953
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,4,0.0016105,1826.2601871490479
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,4,0.0019795,1839.3613245487213
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,4,0.001974,1852.3690388202667
 , , ,4,20,80,0.0002825,1864.1133952140808
 , , ,4,16,100,0.000245,1874.92591381073
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,4,0.0032424999999999997,1887.6724126338959
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,8,4,0.002731,1900.4549732208252
 , , ,4,16,20,0.000245,1911.391452074051
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,4,0.00326,1924.1415734291077
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,4,0.0042734999999999995,1937.820199251175
 , , ,4,16,32,0.0003185,1948.6485123634338
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,4,0.0032424999999999997,1961.6442217826843
