p0,p1,p2,p3,p4,p5,isize,objective,elapsed_sec
 , , ,64,8,16,200,30.1986905,35144.74726986885
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,128,64,200,50.864122,36371.61975336076
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,32,256,200,20.5939845,37334.02569174767
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,50,64,200,38.413791499999995,38448.44719552994
 , , ,80,4,16,200,30.82986450000001,39563.74737501144
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,50,200,44.1079315,40808.905217647545
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,80,80,200,36.0653215,41978.0694630146
 , , ,4,50,256,200,14.426286,42842.93141198158
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,32,200,42.78213750000001,44130.44666671753
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,80,200,53.7800735,45390.79379105569
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,50,200,37.9196205,46675.00121045113
 , , ,50,128,8,200,37.9875605,47762.914229869835
 , , ,20,20,32,200,27.9882425,48996.052320480354
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,50,200,44.338904,50052.20157170296
 , , ,32,32,8,200,34.9629015,50928.21810865402
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,20,200,39.1976955,52146.348845720284
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,64,200,46.86535,53360.969644784935
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,8,200,74.31791,55107.68780493736
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,16,200,38.390930499999996,56551.944018363945
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,4,200,93.413896,58232.1695523262
 , , ,100,4,256,200,15.0167125,59495.158819198616
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,80,64,200,38.429460999999996,60097.754393100746
 , , ,80,128,128,200,28.8653295,60883.30334615707
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,32,80,200,42.453189,62331.39605307579
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,64,200,55.359904500000006,64051.784185886376
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,64,50,200,49.9619865,65362.65060853957
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,256,200,15.525584,65663.21686172485
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,256,200,21.5106285,66605.89690208435
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,128,20,200,46.151898,68327.53919267653
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,100,200,29.966385,69258.97085571289
 , , ,8,8,20,200,30.21162600000001,70888.98170256615
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,256,200,15.560120000000001,72093.62129950522
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,64,200,46.601397,72584.08641767503
 , , ,80,20,32,200,28.272971000000002,73806.60616993903
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,64,64,200,46.8952575,74427.02903652191
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,4,200,43.024877,75031.76604557037
 , , ,128,2048,256,200,14.443651,76657.85282254219
 , , ,96,100,80,200,39.419211499999996,77446.26309514046
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,16,32,200,39.932917,79345.20373177528
