p0,p1,p2,p3,p4,p5,isize,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,32,100,2000,1.7049690000000002,612.8931994438171
 , , ,100,100,256,2000,8.4191015,773.0763351917267
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,80,20,2000,4.7367754999999985,872.7228691577911
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,8,2000,7.0793880000000025,1273.2794296741486
 , , ,32,128,4,2000,6.82763,1298.8040602207186
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,32,2000,5.20545,1581.6821196079254
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,16,16,2000,4.5298965,1926.134514570236
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,80,256,2000,5.5577095000000005,1960.7970423698425
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,32,64,2000,8.386702,2233.9043090343475
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,128,16,2000,6.624282000000001,2637.424703359604
 , , ,100,4,8,2000,5.166683,2997.3146953582764
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,100,2000,5.8476485,3013.7069778442383
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,32,2000,4.729471,3223.053359746933
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,100,2000,4.956383499999999,3632.505210876465
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,4,256,2000,8.801618000000003,3780.13428401947
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,80,16,2000,4.575709,3796.2469577789307
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,256,2000,6.7515065000000005,3816.10226893425
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,50,8,2000,7.7619185,4210.222964286804
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,16,2000,5.286065000000002,4582.816529273987
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,20,4,2000,9.157551,4944.9413611888895
